"Package","Install date"
"GConf2:3.2.6:8.el7:x86_64","Wed Jul 25 14:51:20 2018"
"GeoIP:1.5.0:11.el7:x86_64","Wed Jul 25 14:50:27 2018"
"ModemManager-glib:1.6.10:1.el7:x86_64","Wed Jul 25 14:50:25 2018"
"ModemManager:1.6.10:1.el7:x86_64","Wed Jul 25 14:53:31 2018"
"NetworkManager-adsl:1.10.2:16.el7_5:x86_64","Thu Jul 26 09:07:47 2018"
"NetworkManager-glib:1.10.2:16.el7_5:x86_64","Thu Jul 26 09:07:47 2018"
"NetworkManager-libnm:1.10.2:16.el7_5:x86_64","Thu Jul 26 09:06:47 2018"
"NetworkManager-libreswan-gnome:1.2.4:2.el7:x86_64","Wed Jul 25 14:53:26 2018"
"NetworkManager-libreswan:1.2.4:2.el7:x86_64","Wed Jul 25 14:51:44 2018"
"NetworkManager-ppp:1.10.2:16.el7_5:x86_64","Thu Jul 26 09:07:47 2018"
"NetworkManager-team:1.10.2:16.el7_5:x86_64","Thu Jul 26 09:07:47 2018"
"NetworkManager-tui:1.10.2:16.el7_5:x86_64","Thu Jul 26 09:07:47 2018"
"NetworkManager-wifi:1.10.2:16.el7_5:x86_64","Thu Jul 26 09:06:48 2018"
"NetworkManager:1.10.2:16.el7_5:x86_64","Thu Jul 26 09:06:47 2018"
"PackageKit-command-not-found:1.1.5:2.el7.centos:x86_64","Thu Jul 26 09:07:48 2018"
"PackageKit-glib:1.1.5:2.el7.centos:x86_64","Thu Jul 26 09:06:42 2018"
"PackageKit-gstreamer-plugin:1.1.5:2.el7.centos:x86_64","Thu Jul 26 09:07:48 2018"
"PackageKit-gtk3-module:1.1.5:2.el7.centos:x86_64","Thu Jul 26 09:07:43 2018"
"PackageKit-yum:1.1.5:2.el7.centos:x86_64","Thu Jul 26 09:06:46 2018"
"PackageKit:1.1.5:2.el7.centos:x86_64","Thu Jul 26 09:06:46 2018"
"PyYAML:3.10:11.el7:x86_64","Wed Jul 25 14:51:55 2018"
"abattis-cantarell-fonts:0.0.25:1.el7:noarch","Wed Jul 25 14:52:14 2018"
"abrt-addon-ccpp:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"abrt-addon-kerneloops:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"abrt-addon-pstoreoops:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"abrt-addon-python:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"abrt-addon-vmcore:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"abrt-addon-xorg:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"abrt-cli:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"abrt-console-notification:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:53:31 2018"
"abrt-dbus:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"abrt-desktop:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:53:16 2018"
"abrt-gui-libs:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:52:34 2018"
"abrt-gui:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:52:50 2018"
"abrt-libs:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:19 2018"
"abrt-python:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"abrt-retrace-client:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"abrt-tui:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"abrt:2.1.11:50.el7.centos:x86_64","Wed Jul 25 14:51:38 2018"
"accountsservice-libs:0.6.45:7.el7:x86_64","Wed Jul 25 14:51:23 2018"
"accountsservice:0.6.45:7.el7:x86_64","Wed Jul 25 14:51:23 2018"
"acl:2.2.51:14.el7:x86_64","Wed Jul 25 14:50:34 2018"
"adwaita-cursor-theme:3.26.0:1.el7:noarch","Wed Jul 25 14:52:17 2018"
"adwaita-gtk2-theme:3.22.2:2.el7_5:x86_64","Thu Jul 26 09:06:49 2018"
"adwaita-icon-theme:3.26.0:1.el7:noarch","Wed Jul 25 14:52:21 2018"
"adwaita-qt5:1.0:1.el7:x86_64","Wed Jul 25 14:51:59 2018"
"aic94xx-firmware:30:6.el7:noarch","Wed Jul 25 14:53:36 2018"
"alsa-firmware:1.0.28:2.el7:noarch","Wed Jul 25 14:51:45 2018"
"alsa-lib:1.1.4.1:2.el7:x86_64","Wed Jul 25 14:50:10 2018"
"alsa-plugins-pulseaudio:1.1.1:1.el7:x86_64","Wed Jul 25 14:53:31 2018"
"alsa-tools-firmware:1.1.0:1.el7:x86_64","Wed Jul 25 14:51:45 2018"
"alsa-utils:1.1.3:2.el7:x86_64","Wed Jul 25 14:51:43 2018"
"anaconda-core:21.48.22.134:1.el7.centos:x86_64","Wed Jul 25 14:53:05 2018"
"anaconda-gui:21.48.22.134:1.el7.centos:x86_64","Wed Jul 25 14:53:05 2018"
"anaconda-tui:21.48.22.134:1.el7.centos:x86_64","Wed Jul 25 14:53:04 2018"
"anaconda-widgets:21.48.22.134:1.el7.centos:x86_64","Wed Jul 25 14:52:43 2018"
"appstream-data:7:20170301.el7:noarch","Wed Jul 25 14:49:59 2018"
"at-spi2-atk:2.22.0:2.el7:x86_64","Wed Jul 25 14:51:28 2018"
"at-spi2-core:2.22.0:1.el7:x86_64","Wed Jul 25 14:51:23 2018"
"at:3.1.13:23.el7:x86_64","Wed Jul 25 14:53:36 2018"
"atk:2.22.0:3.el7:x86_64","Wed Jul 25 14:50:14 2018"
"atkmm:2.24.2:1.el7:x86_64","Wed Jul 25 14:50:17 2018"
"attr:2.4.46:13.el7:x86_64","Wed Jul 25 14:51:03 2018"
"audit-libs-python:2.8.1:3.el7:x86_64","Wed Jul 25 14:50:29 2018"
"audit-libs:2.8.1:3.el7:x86_64","Wed Jul 25 14:50:10 2018"
"audit:2.8.1:3.el7:x86_64","Wed Jul 25 14:51:40 2018"
"augeas-libs:1.4.0:5.el7_5.1:x86_64","Thu Jul 26 09:07:49 2018"
"authconfig:6.2.8:30.el7:x86_64","Wed Jul 25 14:51:28 2018"
"avahi-glib:0.6.31:19.el7:x86_64","Wed Jul 25 14:51:19 2018"
"avahi-gobject:0.6.31:19.el7:x86_64","Wed Jul 25 14:51:30 2018"
"avahi-libs:0.6.31:19.el7:x86_64","Wed Jul 25 14:51:18 2018"
"avahi-ui-gtk3:0.6.31:19.el7:x86_64","Wed Jul 25 14:52:44 2018"
"avahi:0.6.31:19.el7:x86_64","Wed Jul 25 14:53:33 2018"
"baobab:3.22.1:1.el7:x86_64","Wed Jul 25 14:53:28 2018"
"basesystem:10.0:7.el7.centos:noarch","Wed Jul 25 14:50:04 2018"
"bash-completion:2.1:6.el7:noarch","Wed Jul 25 14:50:49 2018"
"bash:4.2.46:30.el7:x86_64","Wed Jul 25 14:50:03 2018"
"bc:1.06.95:13.el7:x86_64","Wed Jul 25 14:50:53 2018"
"bind-libs-lite:9.9.4:61.el7:x86_64","Wed Jul 25 14:50:42 2018"
"bind-libs:9.9.4:61.el7:x86_64","Wed Jul 25 14:50:42 2018"
"bind-license:9.9.4:61.el7:noarch","Wed Jul 25 14:49:56 2018"
"bind-utils:9.9.4:61.el7:x86_64","Wed Jul 25 14:53:38 2018"
"binutils:2.27:28.base.el7_5.1:x86_64","Thu Jul 26 09:07:52 2018"
"biosdevname:0.7.3:1.el7:x86_64","Wed Jul 25 14:53:36 2018"
"blktrace:1.0.5:8.el7:x86_64","Wed Jul 25 14:53:39 2018"
"bluez:5.44:4.el7_4:x86_64","Wed Jul 25 14:51:31 2018"
"boost-date-time:1.53.0:27.el7:x86_64","Wed Jul 25 14:51:04 2018"
"boost-system:1.53.0:27.el7:x86_64","Wed Jul 25 14:50:22 2018"
"boost-thread:1.53.0:27.el7:x86_64","Wed Jul 25 14:50:25 2018"
"bridge-utils:1.5:9.el7:x86_64","Wed Jul 25 14:51:09 2018"
"brlapi:0.6.0:16.el7:x86_64","Wed Jul 25 14:51:44 2018"
"brltty:4.5:16.el7:x86_64","Wed Jul 25 14:51:44 2018"
"btrfs-progs:4.9.1:1.el7:x86_64","Wed Jul 25 14:50:42 2018"
"bzip2-libs:1.0.6:13.el7:x86_64","Wed Jul 25 14:50:10 2018"
"bzip2:1.0.6:13.el7:x86_64","Wed Jul 25 14:50:26 2018"
"ca-certificates:2018.2.22:70.0.el7_5:noarch","Thu Jul 26 09:07:00 2018"
"cairo-gobject:1.14.8:2.el7:x86_64","Wed Jul 25 14:51:57 2018"
"cairo:1.14.8:2.el7:x86_64","Wed Jul 25 14:51:57 2018"
"cairomm:1.12.0:1.el7:x86_64","Wed Jul 25 14:51:57 2018"
"caribou-gtk2-module:0.4.21:1.el7:x86_64","Wed Jul 25 14:52:29 2018"
"caribou-gtk3-module:0.4.21:1.el7:x86_64","Wed Jul 25 14:52:29 2018"
"caribou:0.4.21:1.el7:x86_64","Wed Jul 25 14:52:29 2018"
"cdparanoia-libs:10.2:17.el7:x86_64","Wed Jul 25 14:50:38 2018"
"celt051:0.5.1.3:8.el7:x86_64","Wed Jul 25 14:50:26 2018"
"centos-indexhtml:7:9.el7.centos:noarch","Wed Jul 25 14:52:55 2018"
"centos-logos:70.0.6:3.el7.centos:noarch","Wed Jul 25 14:50:19 2018"
"centos-release:7:5.1804.el7.centos.2:x86_64","Thu Jul 26 09:06:48 2018"
"checkpolicy:2.5:6.el7:x86_64","Wed Jul 25 14:51:08 2018"
"cheese-libs:3.22.1:2.el7:x86_64","Wed Jul 25 14:52:37 2018"
"cheese:3.22.1:2.el7:x86_64","Wed Jul 25 14:53:23 2018"
"chkconfig:1.7.4:1.el7:x86_64","Wed Jul 25 14:50:03 2018"
"chrony:3.2:2.el7:x86_64","Wed Jul 25 14:51:42 2018"
"cjkuni-uming-fonts:0.2.20080216.1:53.el7:noarch","Wed Jul 25 14:54:23 2018"
"clutter-gst2:2.0.18:1.el7:x86_64","Wed Jul 25 14:52:34 2018"
"clutter-gst3:3.0.22:1.el7:x86_64","Wed Jul 25 14:52:29 2018"
"clutter-gtk:1.8.4:1.el7:x86_64","Wed Jul 25 14:52:22 2018"
"clutter:1.26.2:2.el7:x86_64","Wed Jul 25 14:52:22 2018"
"cogl:1.22.2:2.el7:x86_64","Wed Jul 25 14:52:07 2018"
"color-filesystem:1:13.el7:noarch","Wed Jul 25 14:50:52 2018"
"colord-gtk:0.1.25:4.el7:x86_64","Wed Jul 25 14:52:34 2018"
"colord-libs:1.3.4:1.el7:x86_64","Wed Jul 25 14:51:31 2018"
"colord:1.3.4:1.el7:x86_64","Wed Jul 25 14:51:31 2018"
"compat-cheese314:3.14.2:1.el7:x86_64","Wed Jul 25 14:52:40 2018"
"compat-gnome-desktop314:3.14.2:1.el7:x86_64","Wed Jul 25 14:52:30 2018"
"compat-libcolord1:1.0.4:1.el7:x86_64","Wed Jul 25 14:50:50 2018"
"control-center-filesystem:3.26.2:9.el7_5:x86_64","Thu Jul 26 09:06:45 2018"
"control-center:3.26.2:9.el7_5:x86_64","Thu Jul 26 09:07:20 2018"
"copy-jdk-configs:3.3:10.el7_5:noarch","Thu Jul 26 09:07:00 2018"
"coreutils:8.22:21.el7:x86_64","Wed Jul 25 14:50:09 2018"
"cpio:2.11:27.el7:x86_64","Wed Jul 25 14:50:13 2018"
"cracklib-dicts:2.9.0:11.el7:x86_64","Wed Jul 25 14:50:28 2018"
"cracklib:2.9.0:11.el7:x86_64","Wed Jul 25 14:50:26 2018"
"crash:7.2.0:6.el7:x86_64","Wed Jul 25 14:53:39 2018"
"crda:3.13_2016.02.08:1.el7:x86_64","Wed Jul 25 14:53:36 2018"
"createrepo:0.9.9:28.el7:noarch","Wed Jul 25 14:51:07 2018"
"cronie-anacron:1.4.11:19.el7:x86_64","Wed Jul 25 14:51:23 2018"
"cronie:1.4.11:19.el7:x86_64","Wed Jul 25 14:51:23 2018"
"crontabs:1.11:6.20121102git.el7:noarch","Wed Jul 25 14:51:23 2018"
"cryptsetup-libs:1.7.4:4.el7:x86_64","Wed Jul 25 14:51:15 2018"
"cryptsetup-python:1.7.4:4.el7:x86_64","Wed Jul 25 14:51:51 2018"
"cryptsetup:1.7.4:4.el7:x86_64","Wed Jul 25 14:51:51 2018"
