"Key","Value"
"Hostname","dall-adbd-app01"
"IPs","10.31.10.44 "
"DNS names","localhost.localdomain"
"LSB Version",":base-4.0-amd64:base-4.0-noarch:core-4.0-amd64:core-4.0-noarch:graphics-4.0-amd64:graphics-4.0-noarch:printing-4.0-amd64:printing-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS release 6.5 (Final)"
"Release","6.5"
"Codename","Final"
"Kernel","Linux dall-adbd-app01 2.6.32-431.29.2.el6.x86_64 #1 SMP Tue Sep 9 21:36:05 UTC 2014 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:104G Used:7.3G Avail:92G"
"Memory","Total:996 Used:869 Free:126 MBytes"
