"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1198/rpcbind"
"tcp","0","0","10.31.10.45:80","0.0.0.0:*","LISTEN","1611/httpd"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1410/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1274/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1488/master"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1531/qpidd"
"tcp","0","0","0.0.0.0:38856","0.0.0.0:*","LISTEN","1216/rpc.statd"
"tcp","0","0","10.31.10.45:42380","10.222.22.169:4505","ESTABLISHED","1591/python"
"tcp","0","0","10.31.10.45:22","10.160.10.5:63142","ESTABLISHED","7431/sshd"
"tcp","0","0","10.31.10.45:58161","52.4.62.169:443","ESTABLISHED","1927/redcloak"
"tcp","0","0",":::40779",":::*","LISTEN","1216/rpc.statd"
"tcp","0","0",":::111",":::*","LISTEN","1198/rpcbind"
"tcp","0","0",":::22",":::*","LISTEN","1410/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1274/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1488/master"
"tcp","0","0",":::5672",":::*","LISTEN","1531/qpidd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1198/rpcbind"
"udp","0","0","0.0.0.0:34422","0.0.0.0:*","","1216/rpc.statd"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1274/cupsd"
"udp","0","0","0.0.0.0:949","0.0.0.0:*","","1198/rpcbind"
"udp","0","0","0.0.0.0:968","0.0.0.0:*","","1216/rpc.statd"
"udp","0","0",":::111",":::*","","1198/rpcbind"
"udp","0","0",":::35498",":::*","","1216/rpc.statd"
"udp","0","0",":::949",":::*","","1198/rpcbind"
