"Proto","Recv-Q","Send-Q","Local Address", "Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1361/rpcbind"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1568/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1432/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1656/master"
"tcp","0","0","0.0.0.0:40388","0.0.0.0:*","LISTEN","1379/rpc.statd"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1699/qpidd"
"tcp","0","0","10.31.10.44:44174","10.222.22.169:4505","ESTABLISHED","1759/python"
"tcp","0","64","10.31.10.44:22","10.160.10.5:56252","ESTABLISHED","5629/sshd"
"tcp","0","0",":::111",":::*","LISTEN","1361/rpcbind"
"tcp","0","0",":::22",":::*","LISTEN","1568/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1432/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1656/master"
"tcp","0","0",":::56702",":::*","LISTEN","1379/rpc.statd"
"tcp","0","0",":::5672",":::*","LISTEN","1699/qpidd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","1361/rpcbind",""
"udp","0","0","0.0.0.0:631","0.0.0.0:*","1432/cupsd",""
"udp","0","0","10.31.10.44:123","0.0.0.0:*","1576/ntpd",""
"udp","0","0","127.0.0.1:123","0.0.0.0:*","1576/ntpd",""
"udp","0","0","0.0.0.0:123","0.0.0.0:*","1576/ntpd",""
"udp","0","0","0.0.0.0:55806","0.0.0.0:*","1379/rpc.statd",""
"udp","0","0","0.0.0.0:688","0.0.0.0:*","1361/rpcbind",""
"udp","0","0","0.0.0.0:707","0.0.0.0:*","1379/rpc.statd",""
"udp","0","0",":::111",":::*","1361/rpcbind",""
"udp","0","0","::1:123",":::*","1576/ntpd",""
"udp","0","0","fe80::250:56ff:febc:3:123",":::*","1576/ntpd",""
"udp","0","0",":::123",":::*","1576/ntpd",""
"udp","0","0",":::688",":::*","1361/rpcbind",""
"udp","0","0",":::47682",":::*","1379/rpc.statd",""

