"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1218/rpcbind"
"tcp","0","0","10.30.1.32:53","0.0.0.0:*","LISTEN","1198/named"
"tcp","0","0","127.0.0.1:53","0.0.0.0:*","LISTEN","1198/named"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1429/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1310/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1505/master"
"tcp","0","0","0.0.0.0:57348","0.0.0.0:*","LISTEN","1236/rpc.statd"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1548/qpidd"
"tcp","0","0","10.30.1.32:45790","52.4.62.169:443","ESTABLISHED","20455/redcloak"
"tcp","0","0","10.30.1.32:22","10.160.10.5:61871","ESTABLISHED","31611/sshd"
"tcp","0","0",":::111",":::*","LISTEN","1218/rpcbind"
"tcp","0","0",":::44149",":::*","LISTEN","1236/rpc.statd"
"tcp","0","0",":::22",":::*","LISTEN","1429/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1310/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1505/master"
"udp","0","0","0.0.0.0:55088","0.0.0.0:*","","1236/rpc.statd"
"udp","0","0","10.30.1.32:53","0.0.0.0:*","","1198/named"
"udp","0","0","127.0.0.1:53","0.0.0.0:*","","1198/named"
"udp","0","0","0.0.0.0:969","0.0.0.0:*","","1218/rpcbind"
"udp","0","0","0.0.0.0:988","0.0.0.0:*","","1236/rpc.statd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1218/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1310/cupsd"
"udp","0","0",":::969",":::*","","1218/rpcbind"
"udp","0","0",":::36451",":::*","","1236/rpc.statd"
"udp","0","0",":::111",":::*","","1218/rpcbind"
