"Key","Value"
"Hostname","dall-adm-dns02"
"IPs","10.30.1.32 "
"DNS names","dall-adm-dns02.taylorpub.com"
"LSB Version",":base-4.0-amd64:base-4.0-noarch:core-4.0-amd64:core-4.0-noarch:graphics-4.0-amd64:graphics-4.0-noarch:printing-4.0-amd64:printing-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS release 6.2 (Final)"
"Release","6.2"
"Codename","Final"
"Kernel","Linux dall-adm-dns02 2.6.32-220.7.1.el6.x86_64 #1 SMP Wed Mar 7 00:52:02 GMT 2012 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:12G Used:2.6G Avail:8.3G"
"Memory","Total:2006 Used:1904 Free:101 MBytes"
