"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:139","0.0.0.0:*","LISTEN","1660/smbd"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1181/rpcbind"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1455/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1326/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1568/master"
"tcp","0","0","0.0.0.0:445","0.0.0.0:*","LISTEN","1660/smbd"
"tcp","0","0","0.0.0.0:60641","0.0.0.0:*","LISTEN","1199/rpc.statd"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1611/qpidd"
"tcp","0","0","10.31.40.116:49183","10.222.22.169:4505","ESTABLISHED","1696/python"
"tcp","0","0","10.31.40.116:22","10.160.10.5:63148","ESTABLISHED","37189/sshd"
"tcp","0","0",":::139",":::*","LISTEN","1660/smbd"
"tcp","0","0",":::52079",":::*","LISTEN","1199/rpc.statd"
"tcp","0","0",":::111",":::*","LISTEN","1181/rpcbind"
"tcp","0","0",":::22",":::*","LISTEN","1455/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1326/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1568/master"
"tcp","0","0",":::445",":::*","LISTEN","1660/smbd"
"tcp","0","0",":::5672",":::*","LISTEN","1611/qpidd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1181/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1326/cupsd"
"udp","0","0","10.31.40.116:123","0.0.0.0:*","","1492/ntpd"
"udp","0","0","127.0.0.1:123","0.0.0.0:*","","1492/ntpd"
"udp","0","0","0.0.0.0:123","0.0.0.0:*","","1492/ntpd"
"udp","0","0","10.31.40.255:137","0.0.0.0:*","","1652/nmbd"
"udp","0","0","10.31.40.116:137","0.0.0.0:*","","1652/nmbd"
"udp","0","0","0.0.0.0:137","0.0.0.0:*","","1652/nmbd"
"udp","0","0","10.31.40.255:138","0.0.0.0:*","","1652/nmbd"
"udp","0","0","10.31.40.116:138","0.0.0.0:*","","1652/nmbd"
"udp","0","0","0.0.0.0:138","0.0.0.0:*","","1652/nmbd"
"udp","0","0","0.0.0.0:49561","0.0.0.0:*","","1199/rpc.statd"
"udp","0","0","0.0.0.0:932","0.0.0.0:*","","1181/rpcbind"
"udp","0","0","0.0.0.0:951","0.0.0.0:*","","1199/rpc.statd"
"udp","0","0",":::111",":::*","","1181/rpcbind"
"udp","0","0","fe80::250:56ff:feb5:4d4a:123",":::*","","1492/ntpd"
"udp","0","0","::1:123",":::*","","1492/ntpd"
"udp","0","0",":::123",":::*","","1492/ntpd"
"udp","0","0",":::932",":::*","","1181/rpcbind"
"udp","0","0",":::35247",":::*","","1199/rpc.statd"
