"Key","Value"
"Hostname","dall-admd-ballw01.cbi-inet.com"
"IPs","10.31.40.116 "
"DNS names","dall-admd-ballw01.cbi-inet.com"
"LSB Version",":base-4.0-amd64:base-4.0-noarch:core-4.0-amd64:core-4.0-noarch:graphics-4.0-amd64:graphics-4.0-noarch:printing-4.0-amd64:printing-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS release 6.5 (Final)"
"Release","6.5"
"Codename","Final"
"Kernel","Linux dall-admd-ballw01.cbi-inet.com 2.6.32-431.el6.x86_64 #1 SMP Fri Nov 22 03:15:09 UTC 2013 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:tmpfs Used:935M Avail:0"
"Memory","Total:1869 Used:604 Free:1264 MBytes"
