"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1408/rpcbind"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1824/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1702/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","2097/master"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","2174/qpidd"
"tcp","0","0","0.0.0.0:3306","0.0.0.0:*","LISTEN","2017/mysqld"
"tcp","0","0","10.31.40.70:22","10.160.10.5:63151","ESTABLISHED","16403/sshd"
"tcp","0","0",":::111",":::*","LISTEN","1408/rpcbind"
"tcp","0","0","::1:631",":::*","LISTEN","1702/cupsd"
"tcp","0","0",":::8888",":::*","LISTEN","1664/java"
"tcp","0","0","::1:25",":::*","LISTEN","2097/master"
"tcp","0","0","::ffff:127.0.0.1:8006",":::*","LISTEN","1664/java"
"tcp","0","0",":::5672",":::*","LISTEN","2174/qpidd"
"tcp","0","0",":::8010",":::*","LISTEN","1664/java"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1408/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1702/cupsd"
"udp","0","0","10.31.40.70:123","0.0.0.0:*","","1922/ntpd"
"udp","0","0","127.0.0.1:123","0.0.0.0:*","","1922/ntpd"
"udp","0","0","0.0.0.0:123","0.0.0.0:*","","1922/ntpd"
"udp","0","0","0.0.0.0:735","0.0.0.0:*","","1408/rpcbind"
"udp","0","0",":::111",":::*","","1408/rpcbind"
"udp","0","0","::1:123",":::*","","1922/ntpd"
"udp","0","0","fe80::250:56ff:feb5:319:123",":::*","","1922/ntpd"
"udp","0","0",":::123",":::*","","1922/ntpd"
"udp","0","0",":::57642",":::*","","1664/java"
"udp","0","0",":::735",":::*","","1408/rpcbind"
