"Key","Value"
"Hostname","dall-admp-ci01"
"IPs","10.31.40.70 "
"DNS names","localhost.localdomain"
"LSB Version",":base-4.0-amd64:base-4.0-noarch:core-4.0-amd64:core-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS release 6.5 (Final)"
"Release","6.5"
"Codename","Final"
"Kernel","Linux dall-admp-ci01 2.6.32-431.29.2.el6.x86_64 #1 SMP Tue Sep 9 21:36:05 UTC 2014 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:35G Used:22G Avail:12G"
"Memory","Total:1869 Used:1380 Free:489 MBytes"
