"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1920/rpcbind"
"tcp","0","0","0.0.0.0:47634","0.0.0.0:*","LISTEN","1938/rpc.statd"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","2341/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","2150/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","2441/master"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","2521/qpidd"
"tcp","0","0","10.31.10.169:49700","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:49706","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:49707","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:49703","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:49705","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:49699","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:22","10.31.10.167:38887","ESTABLISHED","18217/sshd"
"tcp","0","0","10.31.10.169:49710","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:49702","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:49704","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:49708","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:49709","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:42654","10.222.22.169:4505","ESTABLISHED","2601/python"
"tcp","0","0","10.31.10.169:49701","10.222.22.121:7999","TIME_WAIT","-"
"tcp","0","0","10.31.10.169:22","10.160.10.5:63157","ESTABLISHED","19658/sshd"
"tcp","0","0",":::8009",":::*","LISTEN","2297/java"
"tcp","0","0",":::56239",":::*","LISTEN","2297/java"
"tcp","0","0",":::111",":::*","LISTEN","1920/rpcbind"
"tcp","0","0",":::80",":::*","LISTEN","2497/httpd"
"tcp","0","0",":::8080",":::*","LISTEN","2297/java"
"tcp","0","0",":::22",":::*","LISTEN","2341/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","2150/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","2441/master"
"tcp","0","0",":::50144",":::*","LISTEN","2297/java"
"tcp","0","0",":::55170",":::*","LISTEN","1938/rpc.statd"
"tcp","0","0","::ffff:10.31.10.169:52756","::ffff:10.31.20.22:22","ESTABLISHED","2297/java"
"tcp","1","0","::1:51118","::1:8080","CLOSE_WAIT","45124/httpd"
"tcp","1","0","::1:51140","::1:8080","CLOSE_WAIT","47914/httpd"
"tcp","0","0","::1:8080","::1:51140","FIN_WAIT2","-"
"tcp","0","0","::1:8080","::1:51132","FIN_WAIT2","-"
"tcp","1","0","::1:51136","::1:8080","CLOSE_WAIT","45125/httpd"
"tcp","0","0","::1:8080","::1:51134","FIN_WAIT2","-"
"tcp","1","0","::1:51138","::1:8080","CLOSE_WAIT","45123/httpd"
"tcp","1","0","::1:51134","::1:8080","CLOSE_WAIT","45127/httpd"
"tcp","0","0","::1:8080","::1:51141","FIN_WAIT2","-"
"tcp","0","0","::ffff:10.31.10.169:48111","::ffff:10.90.3.98:22","ESTABLISHED","2297/java"
"tcp","0","0","::1:8080","::1:51138","FIN_WAIT2","-"
"tcp","0","0","::1:8080","::1:51118","FIN_WAIT2","-"
"tcp","1","0","::1:51139","::1:8080","CLOSE_WAIT","47912/httpd"
"tcp","0","0","::1:8080","::1:51139","FIN_WAIT2","-"
