"Key","Value"
"Hostname","dall-admp-jenk01"
"IPs","10.31.10.169 "
"DNS names","localhost.localdomain"
"LSB Version",":base-4.0-amd64:base-4.0-noarch:core-4.0-amd64:core-4.0-noarch:graphics-4.0-amd64:graphics-4.0-noarch:printing-4.0-amd64:printing-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS release 6.2 (Final)"
"Release","6.2"
"Codename","Final"
"Kernel","Linux dall-admp-jenk01 2.6.32-220.13.1.el6.x86_64 #1 SMP Tue Apr 17 23:56:34 BST 2012 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:602G Used:278G Avail:294G"
"Memory","Total:15944 Used:12844 Free:3100 MBytes"
