"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:1581","0.0.0.0:*","LISTEN","2347/dsmcad"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1519/rpcbind"
"tcp","0","0","0.0.0.0:58099","0.0.0.0:*","LISTEN","2347/dsmcad"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1945/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1687/cupsd"
"tcp","0","0","0.0.0.0:57764","0.0.0.0:*","LISTEN","1537/rpc.statd"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","2296/qpidd"
"tcp","0","0","10.222.22.121:52231","10.222.22.169:4505","ESTABLISHED","2401/python"
"tcp","0","0","10.222.22.121:22","10.160.10.5:61879","ESTABLISHED","64530/sshd"
"tcp","0","0",":::3306",":::*","LISTEN","2200/mysqld"
"tcp","0","0","::ffff:127.0.0.1:51535",":::*","LISTEN","1894/java"
"tcp","0","0",":::111",":::*","LISTEN","1519/rpcbind"
"tcp","0","0",":::80",":::*","LISTEN","2277/httpd"
"tcp","0","0","::ffff:127.0.0.1:50419",":::*","LISTEN","1894/java"
"tcp","0","0",":::7990",":::*","LISTEN","1894/java"
"tcp","0","0",":::22",":::*","LISTEN","1945/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1687/cupsd"
"tcp","0","0",":::33207",":::*","LISTEN","1537/rpc.statd"
"tcp","0","0","::ffff:127.0.0.1:7992",":::*","LISTEN","1865/java"
"tcp","0","0","::1:7992",":::*","LISTEN","1865/java"
"tcp","0","0",":::7999",":::*","LISTEN","1894/java"
"tcp","0","0",":::5701",":::*","LISTEN","1894/java"
"tcp","0","0",":::5672",":::*","LISTEN","2296/qpidd"
"tcp","32","0","::ffff:10.222.22.121:34299","::ffff:18.234.32.197:443","CLOSE_WAIT","1894/java"
"tcp","32","0","::ffff:10.222.22.121:34304","::ffff:18.234.32.197:443","CLOSE_WAIT","1894/java"
"tcp","32","0","::ffff:10.222.22.121:34295","::ffff:18.234.32.197:443","CLOSE_WAIT","1894/java"
"tcp","0","0","::ffff:127.0.0.1:7992","::ffff:127.0.0.1:36031","ESTABLISHED","1865/java"
"tcp","0","0","::ffff:127.0.0.1:39383","::ffff:127.0.0.1:3306","ESTABLISHED","1894/java"
"tcp","0","0","::ffff:127.0.0.1:60748","::ffff:127.0.0.1:7992","ESTABLISHED","1894/java"
"tcp","0","0","::ffff:127.0.0.1:39084","::ffff:127.0.0.1:3306","ESTABLISHED","1894/java"
"tcp","1","0","::ffff:10.222.22.121:42447","::ffff:10.222.22.101:8085","CLOSE_WAIT","1894/java"
"tcp","32","0","::ffff:10.222.22.121:34301","::ffff:18.234.32.197:443","CLOSE_WAIT","1894/java"
"tcp","32","0","::ffff:10.222.22.121:34296","::ffff:18.234.32.197:443","CLOSE_WAIT","1894/java"
"tcp","0","0","::ffff:127.0.0.1:3306","::ffff:127.0.0.1:39383","ESTABLISHED","2200/mysqld"
"tcp","1","0","::ffff:10.222.22.121:42446","::ffff:10.222.22.101:8085","CLOSE_WAIT","1894/java"
"tcp","0","0","::ffff:127.0.0.1:36031","::ffff:127.0.0.1:7992","ESTABLISHED","1894/java"
"tcp","32","0","::ffff:10.222.22.121:34303","::ffff:18.234.32.197:443","CLOSE_WAIT","1894/java"
"tcp","32","0","::ffff:10.222.22.121:34300","::ffff:18.234.32.197:443","CLOSE_WAIT","1894/java"
"tcp","0","0","::ffff:127.0.0.1:3306","::ffff:127.0.0.1:39085","ESTABLISHED","2200/mysqld"
"tcp","0","0","::ffff:127.0.0.1:3306","::ffff:127.0.0.1:39084","ESTABLISHED","2200/mysqld"
"tcp","0","0","::ffff:127.0.0.1:7992","::ffff:127.0.0.1:60748","ESTABLISHED","1865/java"
"tcp","32","0","::ffff:10.222.22.121:34298","::ffff:18.234.32.197:443","CLOSE_WAIT","1894/java"
"tcp","1","0","::ffff:10.222.22.121:42506","::ffff:10.222.22.101:8085","CLOSE_WAIT","1894/java"
"tcp","0","0","::ffff:10.222.22.121:7990","::ffff:10.31.10.39:58668","FIN_WAIT2","-"
"tcp","32","0","::ffff:10.222.22.121:49379","::ffff:18.234.32.199:443","CLOSE_WAIT","1894/java"
"tcp","0","0","::ffff:127.0.0.1:39085","::ffff:127.0.0.1:3306","ESTABLISHED","1894/java"
"tcp","1","0","::ffff:10.222.22.121:42507","::ffff:10.222.22.101:8085","CLOSE_WAIT","1894/java"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1519/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1687/cupsd"
"udp","0","0","0.0.0.0:54648","0.0.0.0:*","","1537/rpc.statd"
"udp","0","0","10.222.22.121:123","0.0.0.0:*","","1975/ntpd"
"udp","0","0","127.0.0.1:123","0.0.0.0:*","","1975/ntpd"
"udp","0","0","0.0.0.0:123","0.0.0.0:*","","1975/ntpd"
"udp","0","0","0.0.0.0:846","0.0.0.0:*","","1519/rpcbind"
"udp","0","0","0.0.0.0:865","0.0.0.0:*","","1537/rpc.statd"
"udp","0","0",":::111",":::*","","1519/rpcbind"
"udp","0","0","::1:123",":::*","","1975/ntpd"
"udp","0","0","fe80::250:56ff:feb5:4719:123",":::*","","1975/ntpd"
"udp","0","0",":::123",":::*","","1975/ntpd"
"udp","0","0",":::38930",":::*","","1537/rpc.statd"
"udp","0","0",":::846",":::*","","1519/rpcbind"
