"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:3306","0.0.0.0:*","LISTEN","1882/mysqld"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1429/rpcbind"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1632/sshd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1716/master"
"tcp","0","0","0.0.0.0:40579","0.0.0.0:*","LISTEN","1449/rpc.statd"
"tcp","0","0","10.31.20.65:22","10.160.10.5:63159","ESTABLISHED","21790/0"
"tcp","0","0",":::111",":::*","LISTEN","1429/rpcbind"
"tcp","0","0",":::80",":::*","LISTEN","1754/httpd"
"tcp","0","0",":::22",":::*","LISTEN","1632/sshd"
"tcp","0","0","::1:25",":::*","LISTEN","1716/master"
"tcp","0","0",":::33053",":::*","LISTEN","1449/rpc.statd"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.240.0.6:57539","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.31.20.3:57141","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.240.0.6:57351","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.240.0.5:39573","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.240.0.5:40017","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.31.20.4:37246","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.240.0.6:56998","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.31.20.4:37374","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.31.20.3:56078","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.31.20.4:36175","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.240.0.5:39943","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.31.20.3:56477","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.240.0.5:39746","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.31.20.4:36839","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.31.20.4:36570","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.31.20.4:37508","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.240.0.6:56808","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.240.0.6:56726","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.240.0.5:39306","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.65:80","::ffff:10.240.0.6:57269","TIME_WAIT","-"
