"Key","Value"
"Hostname","dall-artp-web01"
"IPs",""
"DNS names","localhost.localdomain"
"LSB Version",":core-4.0-amd64:core-4.0-noarch:graphics-4.0-amd64:graphics-4.0-noarch:printing-4.0-amd64:printing-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS Linux release 6.0 (Final)"
"Release","6.0"
"Codename","Final"
"Kernel","Linux dall-artp-web01 2.6.32-71.el6.x86_64 #1 SMP Fri May 20 03:51:51 BST 2011 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:3.6G Used:2.9G Avail:556M"
"Memory","Total:1999 Used:1795 Free:204 MBytes"
