"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1140/rpcbind"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1422/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1300/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1512/master"
"tcp","0","0","0.0.0.0:44123","0.0.0.0:*","LISTEN","1158/rpc.statd"
"tcp","0","0","10.222.22.36:5000","0.0.0.0:*","LISTEN","1674/python2.7"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1555/qpidd"
"tcp","0","0","10.222.22.36:39134","10.222.22.169:4505","ESTABLISHED","1622/python"
"tcp","0","0","10.222.22.36:49484","52.4.62.169:443","ESTABLISHED","2030/redcloak"
"tcp","0","0","10.222.22.36:22","10.160.10.5:61882","ESTABLISHED","12542/sshd"
"tcp","0","0",":::111",":::*","LISTEN","1140/rpcbind"
"tcp","0","0",":::22",":::*","LISTEN","1422/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1300/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1512/master"
"tcp","0","0",":::55940",":::*","LISTEN","1158/rpc.statd"
"tcp","0","0",":::5672",":::*","LISTEN","1555/qpidd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1140/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1300/cupsd"
"udp","0","0","0.0.0.0:891","0.0.0.0:*","","1140/rpcbind"
"udp","0","0","0.0.0.0:910","0.0.0.0:*","","1158/rpc.statd"
"udp","0","0","0.0.0.0:45742","0.0.0.0:*","","1158/rpc.statd"
"udp","0","0",":::111",":::*","","1140/rpcbind"
"udp","0","0",":::891",":::*","","1140/rpcbind"
"udp","0","0",":::47579",":::*","","1158/rpc.statd"
