"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1359/rpcbind"
"tcp","0","0","0.0.0.0:56435","0.0.0.0:*","LISTEN","-"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1662/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1522/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1786/master"
"tcp","0","0","0.0.0.0:42941","0.0.0.0:*","LISTEN","1377/rpc.statd"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1837/qpidd"
"tcp","0","1","10.30.1.240:39084","10.222.22.169:4506","SYN_SENT","1912/python"
"tcp","0","0","10.30.1.240:22","10.160.10.5:63163","ESTABLISHED","47545/sshd"
"tcp","0","0","10.33.17.202:722","10.33.16.3:2049","ESTABLISHED","-"
"tcp","0","0",":::35115",":::*","LISTEN","1377/rpc.statd"
"tcp","0","0",":::111",":::*","LISTEN","1359/rpcbind"
"tcp","0","0",":::8080",":::*","LISTEN","1826/httpd"
"tcp","0","0",":::80",":::*","LISTEN","1826/httpd"
"tcp","0","0",":::22",":::*","LISTEN","1662/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1522/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1786/master"
"tcp","0","0",":::34017",":::*","LISTEN","-"
"tcp","0","0",":::5672",":::*","LISTEN","1837/qpidd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1359/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1522/cupsd"
"udp","0","0","0.0.0.0:38164","0.0.0.0:*","","1377/rpc.statd"
"udp","0","0","0.0.0.0:686","0.0.0.0:*","","1359/rpcbind"
"udp","0","0","0.0.0.0:705","0.0.0.0:*","","1377/rpc.statd"
"udp","0","0",":::111",":::*","","1359/rpcbind"
"udp","0","0",":::52107",":::*","","1377/rpc.statd"
"udp","0","0",":::686",":::*","","1359/rpcbind"
