"Key","Value"
"Hostname","dall-bal4-pages"
"IPs","10.30.1.240 10.33.17.202 "
"DNS names","localhost.localdomain"
"LSB Version",":base-4.0-amd64:base-4.0-noarch:core-4.0-amd64:core-4.0-noarch:graphics-4.0-amd64:graphics-4.0-noarch:printing-4.0-amd64:printing-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS release 6.4 (Final)"
"Release","6.4"
"Codename","Final"
"Kernel","Linux dall-bal4-pages 2.6.32-358.23.2.el6.x86_64 #1 SMP Wed Oct 16 18:37:12 UTC 2013 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:12G Used:3.4G Avail:7.5G"
"Memory","Total:1869 Used:625 Free:1243 MBytes"
