"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1491/qpidd"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1107/rpcbind"
"tcp","0","0","0.0.0.0:33844","0.0.0.0:*","LISTEN","1125/rpc.statd"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1321/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1197/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1448/master"
"tcp","0","0","10.31.40.172:22","10.160.10.5:63165","ESTABLISHED","32927/sshd"
"tcp","0","0","10.31.40.172:51107","10.31.40.69:4505","ESTABLISHED","1560/python"
"tcp","0","0",":::55136",":::*","LISTEN","1125/rpc.statd"
"tcp","0","0",":::5672",":::*","LISTEN","1491/qpidd"
"tcp","0","0",":::111",":::*","LISTEN","1107/rpcbind"
"tcp","0","0",":::22",":::*","LISTEN","1321/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1197/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1448/master"
"udp","0","0","0.0.0.0:46113","0.0.0.0:*","","1125/rpc.statd"
"udp","0","0","0.0.0.0:858","0.0.0.0:*","","1107/rpcbind"
"udp","0","0","0.0.0.0:877","0.0.0.0:*","","1125/rpc.statd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1107/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1197/cupsd"
"udp","0","0","10.31.40.172:123","0.0.0.0:*","","1372/ntpd"
"udp","0","0","127.0.0.1:123","0.0.0.0:*","","1372/ntpd"
"udp","0","0","0.0.0.0:123","0.0.0.0:*","","1372/ntpd"
"udp","0","0",":::48937",":::*","","1125/rpc.statd"
"udp","0","0",":::858",":::*","","1107/rpcbind"
"udp","0","0",":::111",":::*","","1107/rpcbind"
"udp","0","0","fe80::250:56ff:feb5:5b86:123",":::*","","1372/ntpd"
"udp","0","0","::1:123",":::*","","1372/ntpd"
"udp","0","0",":::123",":::*","","1372/ntpd"
