"Key","Value"
"Hostname","dall-cisd-msql01"
"IPs","10.31.40.172 "
"DNS names","localhost.localdomain"
"LSB Version",":base-4.0-amd64:base-4.0-noarch:core-4.0-amd64:core-4.0-noarch:graphics-4.0-amd64:graphics-4.0-noarch:printing-4.0-amd64:printing-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS release 6.5 (Final)"
"Release","6.5"
"Codename","Final"
"Kernel","Linux dall-cisd-msql01 3.10.29 #1 SMP Mon Feb 10 20:02:22 CST 2014 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:tmpfs Used:243M Avail:0"
"Memory","Total:485 Used:463 Free:21 MBytes"
