"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:3306","0.0.0.0:*","LISTEN","2171/mysqld"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1704/rpcbind"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","2033/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1867/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","2262/master"
"tcp","0","0","0.0.0.0:35911","0.0.0.0:*","LISTEN","1722/rpc.statd"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","2305/qpidd"
"tcp","0","0","10.31.20.170:22","10.160.10.5:61888","ESTABLISHED","29817/sshd"
"tcp","0","0","10.31.20.170:49851","10.222.22.169:4505","ESTABLISHED","2389/python"
"tcp","0","0",":::8009",":::*","LISTEN","1997/java"
"tcp","0","0",":::111",":::*","LISTEN","1704/rpcbind"
"tcp","0","0",":::8080",":::*","LISTEN","1997/java"
"tcp","0","0",":::56529",":::*","LISTEN","1997/java"
"tcp","0","0",":::44113",":::*","LISTEN","1722/rpc.statd"
"tcp","0","0",":::22",":::*","LISTEN","2033/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1867/cupsd"
"tcp","0","0",":::37849",":::*","LISTEN","1997/java"
"tcp","0","0","::1:25",":::*","LISTEN","2262/master"
"tcp","0","0",":::5672",":::*","LISTEN","2305/qpidd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1704/rpcbind"
"udp","0","0","0.0.0.0:626","0.0.0.0:*","","1722/rpc.statd"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1867/cupsd"
"udp","0","0","0.0.0.0:55625","0.0.0.0:*","","1722/rpc.statd"
"udp","0","0","0.0.0.0:607","0.0.0.0:*","","1704/rpcbind"
"udp","0","0",":::5353",":::*","","1997/java"
"udp","0","0",":::111",":::*","","1704/rpcbind"
"udp","0","0",":::33848",":::*","","1997/java"
"udp","0","0",":::39257",":::*","","1722/rpc.statd"
"udp","0","0",":::607",":::*","","1704/rpcbind"
