"Key","Value"
"Hostname","dall-cisp-sjenk01"
"IPs","10.31.20.170 "
"DNS names","localhost.localdomain"
"LSB Version",":base-4.0-amd64:base-4.0-noarch:core-4.0-amd64:core-4.0-noarch:graphics-4.0-amd64:graphics-4.0-noarch:printing-4.0-amd64:printing-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS release 6.4 (Final)"
"Release","6.4"
"Codename","Final"
"Kernel","Linux dall-cisp-sjenk01 2.6.32-358.18.1.el6.x86_64 #1 SMP Wed Aug 28 17:19:38 UTC 2013 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:55G Used:3.7G Avail:49G"
"Memory","Total:1869 Used:961 Free:908 MBytes"
