"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1508/qpidd"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1158/rpcbind"
"tcp","0","0","10.222.22.169:8080","0.0.0.0:*","LISTEN","1610/python"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1373/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1249/cupsd"
"tcp","0","0","0.0.0.0:4505","0.0.0.0:*","LISTEN","1605/python"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1465/master"
"tcp","0","0","0.0.0.0:4506","0.0.0.0:*","LISTEN","1576/python"
"tcp","0","0","0.0.0.0:53083","0.0.0.0:*","LISTEN","1176/rpc.statd"
"tcp","0","0","10.222.22.169:4505","10.32.2.11:32778","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.10.167:48186","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.40.44:53520","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4506","10.32.2.52:46555","ESTABLISHED","1576/python"
"tcp","0","0","10.222.22.169:4505","10.180.4.15:60726","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.33:58137","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.11.20:38083","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.22:48785","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.51:42659","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.12.22:46464","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.20.170:49851","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.53:52876","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.23:60768","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4506","10.31.40.48:44230","ESTABLISHED","1576/python"
"tcp","0","0","10.222.22.169:33807","10.222.22.169:4505","ESTABLISHED","1676/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.52:50517","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.10.231:59424","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.20:34681","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.13:54526","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.12.21:54085","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.10.45:42380","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.40.116:49183","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.32:53907","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.222.22.121:52231","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.10.108:60922","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.10:45411","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.12.31:39679","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.10.44:44174","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.40.24:50433","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.43:39217","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.12.42:46721","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.31:35903","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.60:58227","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.150.17.24:53855","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.41:39230","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.160.1.100:53236","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.150.16.200:56373","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.10.169:42654","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.12:34809","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.12.52:52132","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.12.11:36131","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:22","10.160.10.5:63168","ESTABLISHED","46584/sshd"
"tcp","0","0","10.222.22.169:4505","10.31.40.111:48612","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.20.44:46868","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.10.139:34776","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.222.22.102:55774","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.2.48:33568","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.30.192:38262","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.40.48:44480","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.50:38531","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4506","10.30.11.30:50302","ESTABLISHED","1576/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.21:54239","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.222.22.169:33807","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.222.22.36:39134","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.52:42490","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.10.232:39182","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.20.168:41736","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.150.10.8:46667","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.12.51:58281","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.12.32:38149","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.40:45657","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.222.22.27:55396","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4506","10.32.2.52:35920","ESTABLISHED","1576/python"
"tcp","0","0","10.222.22.169:4505","10.31.10.167:44626","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.222.22.101:51242","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.31.10.231:41684","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.12.12:38157","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.12.41:49594","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.222.22.40:46410","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.33.68.225:46318","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.30.11.30:50812","ESTABLISHED","1605/python"
"tcp","0","0","10.222.22.169:4505","10.32.2.30:42988","ESTABLISHED","1605/python"
"tcp","0","0",":::5672",":::*","LISTEN","1508/qpidd"
"tcp","0","0",":::39592",":::*","LISTEN","1176/rpc.statd"
"tcp","0","0",":::111",":::*","LISTEN","1158/rpcbind"
"tcp","0","0",":::22",":::*","LISTEN","1373/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1249/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1465/master"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1158/rpcbind"
"udp","0","0","0.0.0.0:42428","0.0.0.0:*","","1176/rpc.statd"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1249/cupsd"
"udp","0","0","0.0.0.0:909","0.0.0.0:*","","1158/rpcbind"
"udp","0","0","0.0.0.0:928","0.0.0.0:*","","1176/rpc.statd"
"udp","0","0",":::111",":::*","","1158/rpcbind"
"udp","0","0",":::44389",":::*","","1176/rpc.statd"
"udp","0","0",":::909",":::*","","1158/rpcbind"
