"Key","Value"
"Hostname","dall-cisp-slt01"
"IPs","10.222.22.169 "
"DNS names","localhost.localdomain"
"LSB Version",":base-4.0-amd64:base-4.0-noarch:core-4.0-amd64:core-4.0-noarch:graphics-4.0-amd64:graphics-4.0-noarch:printing-4.0-amd64:printing-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS release 6.5 (Final)"
"Release","6.5"
"Codename","Final"
"Kernel","Linux dall-cisp-slt01 3.10.29 #1 SMP Mon Feb 10 20:02:22 CST 2014 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:tmpfs Used:1001M Avail:0"
"Memory","Total:2001 Used:1914 Free:86 MBytes"
