"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1154/rpcbind"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1444/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1318/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1562/master"
"tcp","0","0","0.0.0.0:56005","0.0.0.0:*","LISTEN","1172/rpc.statd"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1605/qpidd"
"tcp","0","0","10.31.40.155:22","10.160.10.5:61890","ESTABLISHED","26152/sshd"
"tcp","0","0",":::111",":::*","LISTEN","1154/rpcbind"
"tcp","0","0",":::22",":::*","LISTEN","1444/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1318/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1562/master"
"tcp","0","0",":::34750",":::*","LISTEN","1172/rpc.statd"
"tcp","0","0",":::5672",":::*","LISTEN","1605/qpidd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1154/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1318/cupsd"
"udp","0","0","0.0.0.0:52477","0.0.0.0:*","","1172/rpc.statd"
"udp","0","0","0.0.0.0:905","0.0.0.0:*","","1154/rpcbind"
"udp","0","0","0.0.0.0:924","0.0.0.0:*","","1172/rpc.statd"
"udp","0","0",":::111",":::*","","1154/rpcbind"
"udp","0","0",":::905",":::*","","1154/rpcbind"
"udp","0","0",":::44731",":::*","","1172/rpc.statd"
