"Key","Value"
"Hostname","dall-cond-web01.balfour.corp"
"IPs","10.31.40.155 "
"DNS names","dall-cond-web01.balfour.corp"
"LSB Version",":base-4.0-amd64:base-4.0-noarch:core-4.0-amd64:core-4.0-noarch:graphics-4.0-amd64:graphics-4.0-noarch:printing-4.0-amd64:printing-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS release 6.5 (Final)"
"Release","6.5"
"Codename","Final"
"Kernel","Linux dall-cond-web01.balfour.corp 2.6.32-431.29.2.el6.x86_64 #1 SMP Tue Sep 9 21:36:05 UTC 2014 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:12G Used:2.6G Avail:8.3G"
"Memory","Total:1869 Used:478 Free:1390 MBytes"
