"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:3306","0.0.0.0:*","LISTEN","1963/mysqld"
"tcp","0","0","0.0.0.0:39371","0.0.0.0:*","LISTEN","1559/rpc.statd"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1541/rpcbind"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1825/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1704/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","2054/master"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","2097/qpidd"
"tcp","0","0","10.31.20.151:22","10.160.10.5:61898","ESTABLISHED","12016/sshd"
"tcp","0","0",":::111",":::*","LISTEN","1541/rpcbind"
"tcp","0","0",":::80",":::*","LISTEN","8917/httpd"
"tcp","0","0",":::22",":::*","LISTEN","1825/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1704/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","2054/master"
"tcp","0","0",":::443",":::*","LISTEN","8917/httpd"
"tcp","0","0",":::37886",":::*","LISTEN","1559/rpc.statd"
"tcp","0","0",":::5672",":::*","LISTEN","2097/qpidd"
"tcp","0","0","::ffff:10.31.20.151:443","::ffff:10.240.0.5:57595","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.151:443","::ffff:10.240.0.6:48011","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.151:443","::ffff:10.240.0.5:57435","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.151:443","::ffff:10.240.0.6:48356","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.151:443","::ffff:10.240.0.6:47818","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.151:443","::ffff:10.240.0.5:57790","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.151:443","::ffff:10.240.0.6:48549","ESTABLISHED","9305/httpd"
"tcp","0","0","::ffff:10.31.20.151:443","::ffff:10.240.0.6:48165","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.151:443","::ffff:10.240.0.5:57247","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.151:443","::ffff:10.240.0.5:57053","TIME_WAIT","-"
"tcp","0","0","::ffff:10.31.20.151:443","::ffff:10.240.0.6:47626","TIME_WAIT","-"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1541/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1704/cupsd"
"udp","0","0","0.0.0.0:887","0.0.0.0:*","","1559/rpc.statd"
"udp","0","0","0.0.0.0:43311","0.0.0.0:*","","1559/rpc.statd"
"udp","0","0","0.0.0.0:868","0.0.0.0:*","","1541/rpcbind"
"udp","0","0",":::111",":::*","","1541/rpcbind"
"udp","0","0",":::868",":::*","","1541/rpcbind"
"udp","0","0",":::35176",":::*","","1559/rpc.statd"
