"Package name","Release","Info"
"accountsservice","0.6.40-2ubuntu11.3","amd64 query and manipulate user account information "
"acl","2.2.52-3","amd64 Access control list utilities "
"acpid","1:2.0.26-1ubuntu2","amd64 Advanced Configuration and Power Interface event daemon "
"adduser","3.113+nmu3ubuntu4","all add and remove users and groups "
"amd64-microcode","3.20191021.1+really3.20180524.1~ubuntu0.16.04.2","amd64 Processor microcode firmware for AMD CPUs "
"apache2","2.4.18-2ubuntu3.13","amd64 Apache HTTP Server "
"apache2-bin","2.4.18-2ubuntu3.13","amd64 Apache HTTP Server (modules and other binary files) "
"apache2-data","2.4.18-2ubuntu3.13","all Apache HTTP Server (common files) "
"apache2-utils","2.4.18-2ubuntu3.13","amd64 Apache HTTP Server (utility programs for web servers) "
"apparmor","2.10.95-0ubuntu2.11","amd64 user-space parser utility for AppArmor "
"apport","2.20.1-0ubuntu2.21","all automatically generate crash reports for debugging "
"apport-symptoms","0.20","all symptom scripts for apport "
"apt","1.2.29ubuntu0.1","amd64 commandline package manager "
"apt-transport-https","1.2.29ubuntu0.1","amd64 https download transport for APT "
"apt-utils","1.2.29ubuntu0.1","amd64 package management related utility programs "
"at","3.1.18-2ubuntu1","amd64 Delayed job execution and batch processing "
"base-files","9.4ubuntu4.8","amd64 Debian base system miscellaneous files "
"base-passwd","3.5.39","amd64 Debian base system master password and group files "
"bash","4.3-14ubuntu1.4","amd64 GNU Bourne Again SHell "
"bash-completion","1:2.1-4.2ubuntu1.1","all programmable completion for the bash shell "
"bcache-tools","1.0.8-2","amd64 bcache userspace tools "
"bind9-host","1:9.10.3.dfsg.P4-8ubuntu1.14","amd64 Version of 'host' bundled with BIND 9.X "
"bsdmainutils","9.0.6ubuntu3","amd64 collection of more utilities from FreeBSD "
"bsdutils","1:2.27.1-6ubuntu3.6","amd64 basic utilities from 4.4BSD-Lite "
"btrfs-tools","4.4-1ubuntu1","amd64 Checksumming Copy on Write Filesystem utilities "
"busybox-initramfs","1:1.22.0-15ubuntu1.4","amd64 Standalone shell setup for initramfs "
"busybox-static","1:1.22.0-15ubuntu1.4","amd64 Standalone rescue shell with tons of builtin utilities "
"byobu","5.106-0ubuntu1","all text window manager, shell multiplexer, integrated DevOps environment "
"bzip2","1.0.6-8ubuntu0.2","amd64 high-quality block-sorting file compressor - utilities "
"ca-certificates","20170717~16.04.2","all Common CA certificates "
"cloud-guest-utils","0.27-0ubuntu25.1","all cloud guest utilities "
"cloud-initramfs-copymods","0.27ubuntu1.6","all copy initramfs modules into root filesystem for later use "
"cloud-initramfs-dyn-netconf","0.27ubuntu1.6","all write a network interface file in /run for BOOTIF "
"command-not-found","0.3ubuntu16.04.2","all Suggest installation of packages in interactive bash sessions "
"command-not-found-data","0.3ubuntu16.04.2","amd64 Set of data files for command-not-found. "
"console-setup","1.108ubuntu15.4","all console font and keymap setup program "
"console-setup-linux","1.108ubuntu15.4","all Linux specific part of console-setup "
"coreutils","8.25-2ubuntu3~16.04","amd64 GNU core utilities "
"cpio","2.11+dfsg-5ubuntu1.1","amd64 GNU cpio -- a program to manage archives of files "
"crda","3.13-1","amd64 wireless Central Regulatory Domain Agent "
"cron","3.0pl1-128ubuntu2","amd64 process scheduling daemon "
"cryptsetup","2:1.6.6-5ubuntu2.1","amd64 disk encryption support - startup scripts "
"cryptsetup-bin","2:1.6.6-5ubuntu2.1","amd64 disk encryption support - command line tools "
"curl","7.47.0-1ubuntu2.14","amd64 command line tool for transferring data with URL syntax "
"dash","0.5.8-2.1ubuntu2","amd64 POSIX-compliant shell "
"dbus","1.10.6-1ubuntu3.4","amd64 simple interprocess messaging system (daemon and utilities) "
"debconf","1.5.58ubuntu1","all Debian configuration management system "
"debconf-i18n","1.5.58ubuntu1","all full internationalization support for debconf "
"debianutils","4.7","amd64 Miscellaneous utilities specific to Debian "
"dh-python","2.20151103ubuntu1.2","all Debian helper tools for packaging Python libraries and applications "
"diffutils","1:3.3-3","amd64 File comparison utilities "
"distro-info-data","0.28ubuntu0.13","all information about the distributions' releases (data files) "
"dmeventd","2:1.02.110-1ubuntu10","amd64 Linux Kernel Device Mapper event daemon "
"dmidecode","3.0-2ubuntu0.1","amd64 SMBIOS/DMI table decoder "
"dmsetup","2:1.02.110-1ubuntu10","amd64 Linux Kernel Device Mapper userspace library "
"dnsmasq-base","2.75-1ubuntu0.16.04.5","amd64 Small caching DNS proxy and DHCP/TFTP server "
"dns-root-data","2018013001~16.04.1","all DNS root data including root zone and DNSSEC key "
"dnsutils","1:9.10.3.dfsg.P4-8ubuntu1.14","amd64 Clients provided with BIND "
"dosfstools","3.0.28-2ubuntu0.1","amd64 utilities for making and checking MS-DOS FAT filesystems "
"dpkg","1.18.4ubuntu1.5","amd64 Debian package management system "
"e2fslibs:amd64","1.42.13-1ubuntu1.1","amd64 ext2/ext3/ext4 file system libraries "
"e2fsprogs","1.42.13-1ubuntu1.1","amd64 ext2/ext3/ext4 file system utilities "
"ed","1.10-2","amd64 classic UNIX line editor "
"eject","2.1.5+deb1+cvs20081104-13.1ubuntu0.16.04.1","amd64 ejects CDs and operates CD-Changers under Linux "
"ethtool","1:4.5-1","amd64 display or change Ethernet device settings "
"file","1:5.25-2ubuntu1.3","amd64 Determines file type using "magic" numbers "
"findutils","4.6.0+git+20160126-2","amd64 utilities for finding files--find, xargs "
"fontconfig-config","2.11.94-0ubuntu1.1","all generic font configuration library - configuration "
"fonts-dejavu-core","2.35-1","all Vera font family derivate with additional characters "
"fonts-ubuntu-font-family-console","1:0.83-0ubuntu2","all Ubuntu Font Family Linux console fonts, sans-serif monospace "
"friendly-recovery","0.2.31ubuntu2","all Make recovery more user-friendly "
"ftp","0.17-33","amd64 classical file transfer client "
"fuse","2.9.4-1ubuntu3.1","amd64 Filesystem in Userspace "
"gawk","1:4.1.3+dfsg-0.1","amd64 GNU awk, a pattern scanning and processing language "
"gcc-5-base:amd64","5.4.0-6ubuntu1~16.04.12","amd64 GCC, the GNU Compiler Collection (base package) "
