"Package","Install date"
"GConf2:3.2.6:8.el7:x86_64","Fri Mar 23 11:36:36 2018"
"GeoIP:1.5.0:11.el7:x86_64","Mon Mar 26 14:06:56 2018"
"ModemManager-glib:1.1.0:8.git20130913.el7:x86_64","Fri Mar 23 11:35:21 2018"
"ModemManager:1.1.0:8.git20130913.el7:x86_64","Fri Mar 23 11:39:29 2018"
"NetworkManager-adsl:1.0.6:27.el7:x86_64","Fri Mar 23 11:38:52 2018"
"NetworkManager-glib:1.0.6:27.el7:x86_64","Fri Mar 23 11:36:35 2018"
"NetworkManager-libnm:1.0.6:27.el7:x86_64","Fri Mar 23 11:35:53 2018"
"NetworkManager-libreswan-gnome:1.0.6:3.el7:x86_64","Fri Mar 23 11:38:26 2018"
"NetworkManager-libreswan:1.0.6:3.el7:x86_64","Fri Mar 23 11:38:06 2018"
"NetworkManager-team:1.0.6:27.el7:x86_64","Fri Mar 23 11:37:06 2018"
"NetworkManager-tui:1.0.6:27.el7:x86_64","Fri Mar 23 11:38:52 2018"
"NetworkManager:1.0.6:27.el7:x86_64","Fri Mar 23 11:36:55 2018"
"PackageKit-command-not-found:1.0.7:5.el7.centos:x86_64","Fri Mar 23 11:38:55 2018"
"PackageKit-glib:1.0.7:5.el7.centos:x86_64","Fri Mar 23 11:36:36 2018"
"PackageKit-gstreamer-plugin:1.0.7:5.el7.centos:x86_64","Fri Mar 23 11:38:55 2018"
"PackageKit-gtk3-module:1.0.7:5.el7.centos:x86_64","Fri Mar 23 11:38:41 2018"
"PackageKit-yum:1.0.7:5.el7.centos:x86_64","Fri Mar 23 11:36:39 2018"
"PackageKit:1.0.7:5.el7.centos:x86_64","Fri Mar 23 11:36:39 2018"
"abattis-cantarell-fonts:0.0.16:3.el7:noarch","Fri Mar 23 11:36:23 2018"
"abrt-addon-ccpp:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:36:48 2018"
"abrt-addon-kerneloops:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:36:39 2018"
"abrt-addon-pstoreoops:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:36:42 2018"
"abrt-addon-python:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:36:44 2018"
"abrt-addon-vmcore:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:37:02 2018"
"abrt-addon-xorg:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:36:42 2018"
"abrt-cli:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:37:02 2018"
"abrt-console-notification:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:38:52 2018"
"abrt-dbus:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:36:39 2018"
"abrt-desktop:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:38:27 2018"
"abrt-gui-libs:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:38:03 2018"
"abrt-gui:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:38:04 2018"
"abrt-libs:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:36:04 2018"
"abrt-python:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:36:39 2018"
"abrt-retrace-client:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:36:48 2018"
"abrt-tui:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:36:48 2018"
"abrt:2.1.11:36.el7.centos:x86_64","Fri Mar 23 11:36:39 2018"
"accountsservice-libs:0.6.35:9.el7:x86_64","Fri Mar 23 11:36:39 2018"
"accountsservice:0.6.35:9.el7:x86_64","Fri Mar 23 11:36:39 2018"
"acl:2.2.51:12.el7:x86_64","Fri Mar 23 11:35:26 2018"
"adwaita-cursor-theme:3.14.1:1.el7:noarch","Fri Mar 23 11:34:57 2018"
"adwaita-gtk2-theme:3.14.2.2:2.el7:x86_64","Fri Mar 23 11:37:46 2018"
"adwaita-icon-theme:3.14.1:1.el7:noarch","Fri Mar 23 11:35:21 2018"
"aic94xx-firmware:30:6.el7:noarch","Fri Mar 23 11:38:58 2018"
"alsa-firmware:1.0.28:2.el7:noarch","Fri Mar 23 11:36:51 2018"
"alsa-lib:1.0.28:2.el7:x86_64","Fri Mar 23 11:35:35 2018"
"alsa-plugins-pulseaudio:1.0.27:3.el7:x86_64","Fri Mar 23 11:38:49 2018"
"alsa-tools-firmware:1.0.28:2.el7:x86_64","Fri Mar 23 11:36:51 2018"
"alsa-utils:1.0.28:4.el7:x86_64","Fri Mar 23 11:36:51 2018"
"anaconda-core:21.48.22.56:5.el7.centos:x86_64","Fri Mar 23 11:38:18 2018"
"anaconda-tui:21.48.22.56:5.el7.centos:x86_64","Fri Mar 23 11:38:18 2018"
"appstream-data:7:6.el7:noarch","Fri Mar 23 11:34:59 2018"
"at-spi2-atk:2.8.1:4.el7:x86_64","Fri Mar 23 11:37:50 2018"
"at-spi2-core:2.8.0:6.el7:x86_64","Fri Mar 23 11:37:50 2018"
"at:3.1.13:20.el7:x86_64","Fri Mar 23 11:38:57 2018"
"atk:2.14.0:1.el7:x86_64","Fri Mar 23 11:35:14 2018"
"atkmm:2.22.7:3.el7:x86_64","Fri Mar 23 11:35:17 2018"
"attr:2.4.46:12.el7:x86_64","Fri Mar 23 11:36:02 2018"
"audit-libs-python:2.4.1:5.el7:x86_64","Fri Mar 23 11:35:41 2018"
"audit-libs:2.4.1:5.el7:x86_64","Fri Mar 23 11:35:09 2018"
"audit:2.4.1:5.el7:x86_64","Fri Mar 23 11:36:49 2018"
"augeas-libs:1.4.0:2.el7:x86_64","Fri Mar 23 11:35:12 2018"
"authconfig:6.2.8:10.el7:x86_64","Fri Mar 23 11:36:42 2018"
"autocorr-en:4.3.7.2:5.el7:noarch","Fri Mar 23 11:34:50 2018"
"autogen-libopts:5.18:5.el7:x86_64","Fri Mar 23 11:37:03 2018"
"avahi-autoipd:0.6.31:15.el7:x86_64","Fri Mar 23 11:36:52 2018"
"avahi-glib:0.6.31:15.el7:x86_64","Fri Mar 23 11:35:14 2018"
"avahi-gobject:0.6.31:15.el7:x86_64","Fri Mar 23 11:35:24 2018"
"avahi-libs:0.6.31:15.el7:x86_64","Fri Mar 23 11:35:09 2018"
"avahi-ui-gtk3:0.6.31:15.el7:x86_64","Fri Mar 23 11:38:11 2018"
"avahi:0.6.31:15.el7:x86_64","Fri Mar 23 11:38:52 2018"
"baobab:3.14.1:5.el7:x86_64","Fri Mar 23 11:38:37 2018"
"basesystem:10.0:7.el7.centos:noarch","Fri Mar 23 11:34:51 2018"
"bash-completion:2.1:6.el7:noarch","Fri Mar 23 11:39:32 2018"
"bash:4.2.46:19.el7:x86_64","Fri Mar 23 11:35:08 2018"
"bc:1.06.95:13.el7:x86_64","Fri Mar 23 11:36:06 2018"
"bind-libs-lite:9.9.4:29.el7:x86_64","Fri Mar 23 11:35:56 2018"
"bind-libs:9.9.4:29.el7:x86_64","Fri Mar 23 11:35:56 2018"
