"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1673/qpidd"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1322/rpcbind"
"tcp","0","0","0.0.0.0:4369","0.0.0.0:*","LISTEN","2193/epmd"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1536/sshd"
"tcp","0","0","0.0.0.0:33270","0.0.0.0:*","LISTEN","1340/rpc.statd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1413/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1630/master"
"tcp","0","0","10.31.40.189:22","10.160.10.5:63179","ESTABLISHED","29830/sshd"
"tcp","0","0",":::5672",":::*","LISTEN","1673/qpidd"
"tcp","0","0",":::111",":::*","LISTEN","1322/rpcbind"
"tcp","0","0",":::22",":::*","LISTEN","1536/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1413/cupsd"
"tcp","0","0",":::50168",":::*","LISTEN","1340/rpc.statd"
"tcp","0","0","::1:25",":::*","LISTEN","1630/master"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1322/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1413/cupsd"
"udp","0","0","0.0.0.0:649","0.0.0.0:*","","1322/rpcbind"
"udp","0","0","0.0.0.0:668","0.0.0.0:*","","1340/rpc.statd"
"udp","0","0","0.0.0.0:44248","0.0.0.0:*","","1340/rpc.statd"
"udp","0","0",":::111",":::*","","1322/rpcbind"
"udp","0","0",":::649",":::*","","1322/rpcbind"
"udp","0","0",":::60428",":::*","","1340/rpc.statd"
