"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:58188","0.0.0.0:*","LISTEN","1396/rpc.statd"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1378/rpcbind"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1618/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1476/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1716/master"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1759/qpidd"
"tcp","0","0","10.31.10.167:35713","10.90.0.74:22","TIME_WAIT","-"
"tcp","0","0","10.31.10.167:22","10.31.10.169:45387","ESTABLISHED","1922/sshd"
"tcp","0","0","10.31.10.167:48186","10.222.22.169:4505","ESTABLISHED","1828/python"
"tcp","0","0","10.31.10.167:22","10.160.10.5:61906","ESTABLISHED","13219/sshd"
"tcp","0","0","10.31.10.167:38887","10.31.10.169:22","ESTABLISHED","1504/ssh"
"tcp","0","0",":::111",":::*","LISTEN","1378/rpcbind"
"tcp","0","0",":::22",":::*","LISTEN","1618/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1476/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1716/master"
"tcp","0","0",":::55932",":::*","LISTEN","1396/rpc.statd"
"udp","0","0","0.0.0.0:705","0.0.0.0:*","","1378/rpcbind"
"udp","0","0","0.0.0.0:724","0.0.0.0:*","","1396/rpc.statd"
"udp","0","0","0.0.0.0:59116","0.0.0.0:*","","1396/rpc.statd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1378/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1476/cupsd"
"udp","0","0","10.31.10.167:123","0.0.0.0:*","","1640/ntpd"
"udp","0","0","127.0.0.1:123","0.0.0.0:*","","1640/ntpd"
"udp","0","0","0.0.0.0:123","0.0.0.0:*","","1640/ntpd"
"udp","0","0",":::705",":::*","","1378/rpcbind"
"udp","0","0",":::111",":::*","","1378/rpcbind"
"udp","0","0",":::34544",":::*","","1396/rpc.statd"
"udp","0","0","fe80::250:56ff:fe8c:1d3a:123",":::*","","1640/ntpd"
"udp","0","0","::1:123",":::*","","1640/ntpd"
"udp","0","0",":::123",":::*","","1640/ntpd"
