"Key","Value"
"Hostname","dall-prd-jenk03"
"IPs","10.31.10.167 "
"DNS names","dall-prd-jenk03"
"LSB Version",":base-4.0-amd64:base-4.0-noarch:core-4.0-amd64:core-4.0-noarch:graphics-4.0-amd64:graphics-4.0-noarch:printing-4.0-amd64:printing-4.0-noarch"
"Distributor ID","CentOS"
"Description","CentOS release 6.2 (Final)"
"Release","6.2"
"Codename","Final"
"Kernel","Linux dall-prd-jenk03 2.6.32-220.13.1.el6.x86_64 #1 SMP Tue Apr 17 23:56:34 BST 2012 x86_64 x86_64 x86_64 GNU/Linux"
"Filesystem /","Size:209G Used:40G Avail:158G"
"Memory","Total:2006 Used:1416 Free:590 MBytes"
