"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1152/rpcbind"
"tcp","0","0","0.0.0.0:4369","0.0.0.0:*","LISTEN","2124/epmd"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1442/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1316/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1544/master"
"tcp","0","0","0.0.0.0:34502","0.0.0.0:*","LISTEN","1170/rpc.statd"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1587/qpidd"
"tcp","0","0","10.31.40.140:22","10.160.10.5:63184","ESTABLISHED","27524/sshd"
"tcp","0","0",":::111",":::*","LISTEN","1152/rpcbind"
"tcp","0","0",":::22",":::*","LISTEN","1442/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1316/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1544/master"
"tcp","0","0",":::60351",":::*","LISTEN","1170/rpc.statd"
"tcp","0","0",":::5672",":::*","LISTEN","1587/qpidd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1152/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1316/cupsd"
"udp","0","0","10.31.40.140:123","0.0.0.0:*","","1468/ntpd"
"udp","0","0","127.0.0.1:123","0.0.0.0:*","","1468/ntpd"
"udp","0","0","0.0.0.0:123","0.0.0.0:*","","1468/ntpd"
"udp","0","0","0.0.0.0:903","0.0.0.0:*","","1152/rpcbind"
"udp","0","0","0.0.0.0:922","0.0.0.0:*","","1170/rpc.statd"
"udp","0","0","0.0.0.0:46659","0.0.0.0:*","","1170/rpc.statd"
"udp","0","0",":::111",":::*","","1152/rpcbind"
"udp","0","0","::1:123",":::*","","1468/ntpd"
"udp","0","0","fe80::250:56ff:feb5:71a6:123",":::*","","1468/ntpd"
"udp","0","0",":::123",":::*","","1468/ntpd"
"udp","0","0",":::903",":::*","","1152/rpcbind"
"udp","0","0",":::60743",":::*","","1170/rpc.statd"
